experiment,report_type,macro_f1,micro_f1,weighted_f1,macro_precision,micro_precision,macro_recall,micro_recall
bert_base__real+synthetic+focused__top10,report,0.59,0.76,0.79,0.55,0.64,0.7,0.95
bert_base__real+synthetic+focused__top5,report,0.92,0.9,0.9,0.9,0.87,0.94,0.93
bert_base__real__top10,report,0.12,0.33,0.19,0.1,0.36,0.19,0.31
bert_base__real__top5,report,0.48,0.51,0.52,0.36,0.38,0.73,0.78
bert_base__synthetic+focused__top10,report,0.32,0.64,0.63,0.28,0.56,0.38,0.73
bert_base__synthetic+focused__top5,report,0.57,0.69,0.66,0.48,0.61,0.69,0.79
bert_clinical__real+synthetic+focused__top10,report,0.57,0.78,0.8,0.54,0.69,0.66,0.91
bert_clinical__real+synthetic+focused__top5,report,0.84,0.9,0.89,0.91,0.89,0.84,0.91
bert_clinical__real__top10,report,0.2,0.41,0.28,0.17,0.42,0.26,0.39
bert_clinical__real__top5,report,0.43,0.5,0.47,0.35,0.39,0.59,0.67
bert_clinical__synthetic+focused__top10,report,0.35,0.68,0.66,0.29,0.57,0.44,0.84
bert_clinical__synthetic+focused__top5,report,0.6,0.73,0.7,0.52,0.64,0.73,0.84
hier_clinbert__real+synthetic+focused__top10,child_report,0.11,0.28,0.22,0.07,0.2,0.25,0.5
hier_clinbert__real+synthetic+focused__top10,parent_report,0.18,0.56,0.43,0.18,0.58,0.2,0.54
hier_clinbert__real+synthetic+focused__top5,child_report,0.33,0.39,0.39,0.21,0.24,0.8,0.93
hier_clinbert__real+synthetic+focused__top5,parent_report,0.3,0.47,0.39,0.32,0.48,0.36,0.47
hier_clinbert__real__top10,child_report,0.18,0.27,0.22,0.11,0.17,0.51,0.63
hier_clinbert__real__top10,parent_report,0.23,0.55,0.45,0.2,0.59,0.27,0.52
hier_clinbert__real__top5,child_report,0.3,0.36,0.33,0.18,0.23,0.8,0.87
hier_clinbert__real__top5,parent_report,0.13,0.36,0.19,0.09,0.36,0.25,0.35
hier_clinbert__synthetic+focused__top10,child_report,0.17,0.31,0.32,0.11,0.19,0.45,0.82
hier_clinbert__synthetic+focused__top10,parent_report,0.16,0.58,0.44,0.13,0.6,0.21,0.57
hier_clinbert__synthetic+focused__top5,child_report,0.31,0.36,0.37,0.19,0.22,0.8,0.93
hier_clinbert__synthetic+focused__top5,parent_report,0.42,0.58,0.51,0.41,0.52,0.53,0.65
tfidf_lr__real+synthetic+focused__top10,report,0.22,0.51,0.41,0.3,1.0,0.18,0.34
tfidf_lr__real+synthetic+focused__top5,report,0.54,0.69,0.64,0.77,0.96,0.44,0.53
tfidf_lr__real__top10,report,0.02,0.03,0.03,0.1,1.0,0.01,0.01
tfidf_lr__real__top5,report,0.2,0.3,0.26,0.4,1.0,0.14,0.17
tfidf_lr__synthetic+focused__top10,report,0.18,0.46,0.39,0.29,0.94,0.14,0.31
tfidf_lr__synthetic+focused__top5,report,0.48,0.62,0.58,0.77,0.95,0.38,0.47
