endpoint,model,F1_k1,F1_k2,F1_k3,F1_k4,F1_k5,best_k,best_subset,best_f1
rec,xgb,0.9830124103185158,0.985370503990496,0.985370503990496,0.985370503990496,0.985370503990496,5,clinical+semantic+temporal+pathological+spatial,0.985370503990496
rec,lgbm,0.9829774722769982,0.9830909438559547,0.9831258818974724,0.9830909438559547,0.9831258818974724,5,clinical+semantic+temporal+pathological+spatial,0.9831258818974724
rec,rf,0.9829774722769982,0.9829782024885114,0.9829782024885114,0.9810468695538468,0.980615411790837,3,clinical+pathological+spatial,0.9829782024885114
rec,voting,0.9829774722769982,0.9829774722769982,0.9829774722769982,0.9829774722769982,0.9829774722769982,5,clinical+semantic+temporal+pathological+spatial,0.9829774722769982
rec,et,0.9786840788561724,0.9810468695538468,0.980615411790837,0.980615411790837,0.9810468695538468,5,clinical+semantic+temporal+pathological+spatial,0.9810468695538468
surv,lgbm,0.7859124339355776,0.7851572555913335,0.802354830223474,0.8048446988340375,0.7845756447489014,4,clinical+temporal+pathological+spatial,0.8048446988340375
surv,voting,0.7851964429040414,0.8005112297966275,0.8020127045154851,0.7981582359310638,0.7912216993845271,3,clinical+semantic+spatial,0.8020127045154851
surv,et,0.7880140947636078,0.7999363121243768,0.7921425574407716,0.7873839940804315,0.77695096543039,2,clinical+pathological,0.7999363121243768
surv,rf,0.7777294664335599,0.797399166218083,0.7911036924267238,0.7980514788615078,0.7879201087057387,4,clinical+temporal+pathological+spatial,0.7980514788615078
surv,xgb,0.7700634745747592,0.7975666566399132,0.7875876042507429,0.7887335368594318,0.7794376523616514,2,clinical+spatial,0.7975666566399132
