endpoint,rank_within_endpoint,model,avg_best_f1_over_k,f1_k5
rec,1,xgb,0.9848988852560998,0.9853705039904959
rec,2,lgbm,0.9830822247567704,0.9831258818974724
rec,3,voting,0.9829774722769982,0.9829774722769982
rec,4,rf,0.9821192317197409,0.980615411790837
rec,5,et,0.980401728309108,0.9810468695538468
surv,1,voting,0.795420062506349,0.7912216993845271
surv,2,lgbm,0.7925689726666648,0.7845756447489014
surv,3,rf,0.7904407825291226,0.7879201087057387
surv,4,et,0.7888855847679155,0.77695096543039
surv,5,xgb,0.7846777849372997,0.7794376523616514
